商品ID,商品名,卸業者,分類,主な原材料または品種,規格,グラムもしくはリットルあたりの単価,数量,単価(税別),金額(税別),日付,備考
IM001,石鎚 純米 R6BY,いまでや,日本酒,雄町,1800ml,1.89,0.0,3400,0,2025-10-21,欠品1
IM002,無窮天穩 土雲 生もと 改良雄町60% 2回火入 R5BY,いまでや,日本酒,改良雄町,1800ml,1.67,0.0,3000,0,2025-10-21,欠品1
IM003,光栄菊 天然乳酸菌仕込み 幾望 無濾過生原酒,いまでや,日本酒,米（詳細不明）,1800ml,1.89,1.0,3400,3400,2025-10-21,10%対象
IM004,千代の光 純米吟醸 KENICHI RO 雄町 火入れ R6BY,いまでや,日本酒,雄町,1800ml,2.02,1.0,3636,3636,2025-10-21,10%対象
IM005,翔 甲州セック スパークリング,いまでや,ワイン,甲州,750ml,2.24,0.0,1680,0,2025-10-21,欠品1
IM006,胎内高原ワイナリー アッサンブラージュ ブラン 2024,いまでや,ワイン,ブドウ（ブレンド）,750ml,3.47,0.0,2600,0,2025-10-21,欠品1
IM007,AFドミニクーヘルド キュヴェ・ヴァイス 2022,いまでや,ワイン,ブドウ（白）,750ml,2.72,1.0,2040,2040,2025-10-21,10%対象
IM008,KPデリンクエンテ タフ・ナッツ 2025,いまでや,ワイン,ブドウ（白/オレンジ）,750ml,2.53,1.0,1900,1900,2025-10-21,10%対象
IM009,フモトヰ 酒門 辛口純米大吟醸,いまでや,日本酒,酒造好適米（詳細不明）,1800ml,1.89,0.0,3400,0,2025-10-21,欠品1
IM010,明鏡止水 酒門 生もと純米大吟醸,いまでや,日本酒,山田錦（推定）,1800ml,1.89,1.0,3400,3400,2025-10-21,10%対象
IM011,EVNイル・ファルネート ブルットナトゥーレ 2023,いまでや,ワイン,ブドウ（泡）,750ml,3.65,1.0,2740,2740,2025-10-21,10%対象
IM012,山形正宗 純米吟醸 竜ノ尾 2025,いまでや,日本酒,亀ノ尾,1800ml,2.17,1.0,3900,3900,2025-10-21,10%対象
NH001,にんにく,肉のハナマサ,生鮮食品,にんにく,,,1.0,98,98,2025-10-22,軽減税率8%対象
NH002,ムキにんにく,肉のハナマサ,生鮮食品,にんにく,,,1.0,300,300,2025-10-22,軽減税率8%対象
NH003,メンマ,肉のハナマサ,加工食品,たけのこ,,,2.0,298,596,2025-10-22,軽減税率8%対象
NH003,メンマ,肉のハナマサ,加工食品,たけのこ,,,2.0,250,500,2025-10-17,軽減税率8%対象
NH003,メンマ,肉のハナマサ,加工食品,たけのこ,,,2.0,250,500,2025-10-02,軽減税率8%対象
NH003,メンマ,肉のハナマサ,加工食品,たけのこ,,,2.0,250,500,2025-10-09,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,1663.9g,1.19,1.0,1980,1980,2025-10-20,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,878.2g,1.19,1.0,1045,1045,2025-10-22,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,505.9g,1.19,1.0,602,602,2025-10-23,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,1663.9g,1.19,1.0,1980,1980,2025-10-14,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,726.1g,1.19,1.0,864,864,2025-10-06,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,603.4g,1.19,1.0,718,718,2025-10-07,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,745.4g,1.19,1.0,887,887,2025-10-16,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,712.6g,1.19,1.0,848,848,2025-10-27,軽減税率8%対象
NH004,国産若鶏モモ肉,肉のハナマサ,肉類,鶏肉,1663.9g,1.19,1.0,1980,1980,2025-10-29,軽減税率8%対象
